Наименование,Источник,Дата создания во внешней системе,Дата закрытия,Округ,Адрес,unom,Дата и время завершения события во
Пожар; Задымление,MOS_GAS,2022-10-19 22:08:45.000000,2023-04-07 03:23:52.895000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-10-19 23:25:42.449000
Температура в квартире ниже нормативной,EDC,2022-11-12 12:06:39.000000,2022-11-12 15:29:16.871000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-11-12 15:29:16.871000
Неисправность запирающего устройства,NG,2022-11-17 20:51:21.294000,2022-11-19 12:43:49.285000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-11-19 12:43:49.285000
Лифт требует ремонта,EDC,2022-11-29 06:17:55.000000,2023-04-11 01:53:16.016000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-11-29 06:58:46.079000
Температура в квартире ниже нормативной,EDC,2022-12-06 15:30:25.000000,2022-12-06 16:28:53.869000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-06 16:28:53.869000
Лифт требует ремонта,EDC,2022-12-20 18:56:24.000000,2023-04-07 16:27:27.501000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-20 21:53:21.871000
Расхождение времени ПУ,ASUPR,2022-11-11 13:06:05.000000,2022-11-11 13:06:33.291000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,
Отсутствуют актуальные суточные значения,ASUPR,2022-11-13 00:05:30.000000,2022-11-13 00:44:58.959000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-11-13 00:44:58.959000
Температура в квартире ниже нормативной,EDC,2022-11-18 07:54:27.000000,2022-11-18 09:37:45.415000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-11-18 09:37:45.414000
Температура в квартире ниже нормативной,EDC,2022-11-23 13:34:25.000000,2022-11-23 16:57:08.951000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-11-23 16:57:08.951000
Температура в квартире ниже нормативной,EDC,2022-11-23 16:27:11.000000,2022-11-23 16:57:52.189000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-11-23 16:57:51.899000
T1 > max,ASUPR,2022-11-30 08:15:26.000000,2022-12-09 00:54:48.079000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-09 00:54:48.078000
Температура в квартире ниже нормативной,EDC,2022-12-03 09:43:15.000000,2022-12-03 16:48:21.141000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-03 16:48:21.141000
Температура в квартире ниже нормативной,EDC,2022-12-03 18:08:02.000000,2022-12-03 19:35:56.102000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-03 19:35:56.102000
Температура в квартире ниже нормативной,EDC,2022-12-05 17:08:37.000000,2022-12-05 20:11:18.458000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-05 20:11:18.458000
Температура в квартире ниже нормативной,EDC,2022-12-07 12:42:36.000000,2022-12-07 16:40:21.235000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-07 16:40:21.235000
Температура в квартире ниже нормативной,EDC,2022-12-07 16:33:52.000000,2022-12-07 19:56:06.615000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-07 19:56:06.615000
Загрязнение лифта,NG,2022-12-08 08:29:29.397000,2022-12-08 12:38:08.971000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-08 12:38:08.971000
Повреждение отделочных покрытий пола/стены/ступеней/перил/других элементов,MGI,2022-12-09 00:26:35.513000,2022-12-09 15:33:51.615000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-09 15:33:51.615000
Повреждение элементов фасада,MGI,2022-12-09 00:26:42.727000,2022-12-09 12:27:13.953000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-09 12:27:13.953000
Повреждение системы электропроводки/щитового оборудования,MGI,2022-12-09 00:26:50.551000,2022-12-09 15:33:54.735000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-09 15:33:54.735000
Температура в квартире ниже нормативной,EDC,2022-12-10 14:34:41.000000,2022-12-10 16:33:15.429000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-10 16:33:15.429000
Неудовлетворительное санитарное содержание мусоропровода,NG,2022-12-14 13:25:39.111000,2022-12-14 17:45:08.774000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-14 17:45:08.774000
T1 > max,ASUPR,2022-12-16 19:05:30.000000,2022-12-19 13:35:01.925000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-19 13:35:01.924000
Расхождение времени ПУ,ASUPR,2022-12-17 04:06:02.000000,2022-12-17 04:14:39.741000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-17 04:14:39.691000
Загрязнение/замусоренность подъезда,EDC,2022-12-17 16:17:34.000000,2022-12-17 19:58:09.846000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-17 19:58:09.845000
Загрязнение/замусоренность подъезда,EDC,2022-12-18 08:02:28.000000,2022-12-18 11:34:02.702000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-18 11:34:02.702000
Загрязнение/замусоренность подъезда,EDC,2022-12-18 11:41:51.000000,2022-12-18 13:37:43.367000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-18 13:37:43.367000
Загрязнение/замусоренность подъезда,EDC,2022-12-18 14:48:11.000000,2022-12-18 15:43:20.457000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-18 15:43:20.457000
Загрязнение/замусоренность подъезда,EDC,2022-12-18 15:54:55.000000,2022-12-18 21:04:26.004000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-18 21:04:26.004000
Загрязнение/замусоренность подъезда,EDC,2022-12-19 05:16:35.000000,2022-12-19 11:26:49.268000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-19 11:26:49.268000
Загрязнение/замусоренность подъезда,EDC,2022-12-26 15:31:01.000000,2022-12-26 16:54:42.127000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-26 16:54:42.127000
Неудовлетворительное техническое содержание мусоропровода,NG,2022-12-26 16:22:08.000000,2023-01-02 16:05:54.872000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2023-01-02 16:05:47.660000
Отсутствуют актуальные суточные значения,ASUPR,2022-12-30 00:05:04.000000,2022-12-30 02:14:57.084000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-30 02:14:55.572000
Загрязнение входной двери,NG,2022-12-28 11:11:35.000000,2022-12-31 14:59:07.266000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-12-31 14:59:07.265000
Низкий уровень сигнала GSM,ASUPR,2022-10-06 18:04:50.000000,2022-10-07 16:03:22.965000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,
Расхождение времени ПУ,ASUPR,2022-10-09 06:34:11.000000,2022-10-09 03:34:27.246000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,
Низкий уровень сигнала GSM,ASUPR,2022-10-11 20:04:24.000000,2022-10-14 08:03:23.660000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,
Температура ГВС ниже нормы,ASUPR,2022-10-13 13:45:34.000000,2022-10-15 00:54:07.972000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,
Открыт шкаф УСПД,ASUPR,2022-10-13 17:13:16.000000,2022-10-13 14:57:51.745000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,
Отсутствует циркуляция ГВС,ASUPR,2022-10-13 17:44:35.000000,2022-10-13 17:53:56.496000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,
Отсутствие ГВС в доме,EDC,2022-10-15 15:35:58.000000,2022-10-15 16:10:18.199000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-10-17 05:23:41.000000,2022-10-17 02:47:38.031000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-10-17 05:23:41.000000,2022-10-17 02:47:35.434000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-10-17 05:23:41.000000,2022-10-17 02:54:33.264000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,
Температура в квартире ниже нормативной,EDC,2022-10-17 22:50:35.000000,2022-10-17 23:27:15.931000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-10-17 23:27:15.931000
Низкий уровень сигнала GSM,ASUPR,2022-10-18 16:04:19.000000,2022-10-19 14:32:59.576000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-10-19 14:32:59.525000
Повреждение внутренней двери,EDC,2022-10-20 07:26:57.000000,2022-10-20 10:20:17.482000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-10-20 10:20:17.482000
Повреждение внутренней двери,NG,2022-10-20 09:51:39.323000,2022-10-20 12:44:56.481000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-10-20 12:44:56.481000
Расхождение времени ПУ,ASUPR,2022-10-20 13:14:25.000000,2022-10-20 13:22:52.209000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-10-20 13:22:52.209000
Отсутствие ГВС в доме,EDC,2022-10-23 17:07:42.000000,2022-10-23 17:34:50.172000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-10-23 17:34:50.172000
Повреждение элементов входной двери,NG,2022-10-25 18:11:19.611000,2022-10-26 15:18:08.389000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-10-26 15:18:08.389000
Отсутствие ХВС в доме,EDC,2022-10-25 18:37:02.000000,2022-10-25 19:36:29.219000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-10-25 19:36:29.219000
Отсутствие ГВС в доме,EDC,2022-10-25 22:09:15.000000,2022-10-25 23:27:16.917000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-10-25 23:27:15.382000
Расхождение времени ПУ,ASUPR,2022-10-28 20:33:58.000000,2022-10-28 20:34:12.508000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,
Разбито/сломано/повреждено окно в местах общего пользования,NG,2022-10-31 08:46:49.448000,2022-10-31 12:08:28.381000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-10-31 12:08:28.381000
Разбито/сломано/повреждено окно в местах общего пользования,NG,2022-11-02 08:07:18.114000,2022-11-02 17:57:21.425000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-11-02 17:57:21.425000
Разбито/сломано/повреждено окно в местах общего пользования,NG,2022-11-05 09:23:30.259000,2022-11-06 17:28:40.067000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-11-06 17:28:38.238000
Неисправность запирающего устройства,NG,2022-11-05 09:43:18.879000,2022-11-06 17:32:39.120000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-11-06 17:32:38.026000
Загрязнение лифта,EDC,2022-11-07 18:48:26.000000,2022-11-08 09:04:13.161000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-11-08 09:04:13.161000
Загрязнение лифта,NG,2022-11-08 14:01:21.075000,2022-11-08 16:47:39.334000,ВАО,"внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 14, корпус 5",15123,2022-11-08 16:47:39.334000
"Колодцы, люк занижен",MVK,2022-04-13 13:06:13.000000,2022-04-13 16:40:24.965000,ВАО,"внутригородская территория муниципальный округ Косино-Ухтомский, Святоозерская улица, дом 10",2405068,
"Колодцы, люк занижен",MVK,2022-01-24 15:16:52.000000,2022-06-15 09:37:15.809000,ВАО,"Ростокинский проезд, владение 2, строение 1",2402548,
"Колодцы, люк занижен",MVK,2022-01-24 15:16:49.000000,2022-06-15 09:36:46.839000,ВАО,"Ростокинский проезд, владение 2, строение 1",2402548,
Отсутствие ГВС в доме,EDC,2022-03-12 08:10:27.000000,2022-03-12 10:33:02.477000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-01-01 15:47:52.000000,2022-01-01 16:59:15.132000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-01-01 16:36:39.000000
Недогрев ГВС,EDC,2022-02-16 00:31:21.000000,2022-02-16 11:55:01.586000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-16 11:48:21.000000
Отсутствие ГВС в доме,EDC,2022-01-06 10:10:14.000000,2022-01-06 10:44:53.020000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-01-06 10:19:55.000000
Недогрев ГВС,EDC,2022-02-17 13:50:33.000000,2022-02-17 15:41:56.161000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-17 15:22:13.000000
Загрязнение лифта,EDC,2022-02-17 11:20:53.000000,2022-02-17 13:01:57.170000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-17 12:41:18.000000
Отсутствие ГВС в доме,EDC,2022-02-17 07:13:40.000000,2022-02-17 10:18:07.552000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-17 09:52:14.000000
Отсутствие ГВС в доме,EDC,2022-01-01 14:21:58.000000,2022-01-01 16:59:15.900000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-01-01 16:36:52.000000
Отсутствие ГВС в доме,EDC,2022-01-08 22:04:49.000000,2022-01-08 22:32:00.056000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-01-08 22:09:35.000000
Недогрев ГВС,EDC,2022-02-16 19:40:39.000000,2022-02-17 00:11:40.387000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-16 23:58:59.000000
Недогрев ГВС,EDC,2022-02-16 17:57:07.000000,2022-02-16 19:38:21.046000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-16 19:28:30.000000
Отсутствие ГВС в доме,EDC,2022-02-15 14:35:42.000000,2022-02-15 17:23:53.100000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-15 17:05:04.000000
Отсутствие ГВС в доме,EDC,2022-01-10 09:46:56.000000,2022-01-10 11:02:39.836000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-01-10 10:08:35.000000
Отсутствие ГВС в доме,EDC,2022-01-05 10:56:40.000000,2022-01-05 11:58:39.405000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-01-05 11:31:27.000000
Неудовлетворительное санитарное содержание мусоропровода,EDC,2022-03-25 22:31:38.000000,2022-03-25 23:23:06.149000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-03-22 12:57:46.000000,2022-03-22 13:24:18.261000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Недогрев ГВС,EDC,2022-03-23 14:57:07.000000,2022-03-23 16:56:14.387000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Повреждение элементов входной двери,EDC,2022-03-21 14:55:43.000000,2022-03-21 15:32:57.508000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-03-11 13:48:15.000000,2022-03-11 14:51:17.265000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-03-03 04:03:11.000000,2022-03-03 10:26:05.014000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Изменение конфигурации УСПД,ASUPR,2022-03-02 21:34:47.000000,2022-03-02 19:13:08.201000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-02-17 13:44:23.000000,2022-02-17 15:05:19.648000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-17 14:47:21.000000
Недогрев ГВС,EDC,2022-02-17 13:29:18.000000,2022-02-17 15:05:17.141000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-17 14:46:57.000000
Недогрев ГВС,EDC,2022-02-17 11:39:19.000000,2022-02-17 13:02:02.675000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-17 12:42:00.000000
Недогрев ГВС,EDC,2022-02-17 11:13:27.000000,2022-02-17 13:02:00.905000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-17 12:40:54.000000
Отсутствие ГВС в доме,EDC,2022-02-16 16:29:05.000000,2022-02-16 17:51:46.464000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-16 17:39:49.000000
Недогрев ГВС,EDC,2022-02-16 10:36:31.000000,2022-02-16 12:10:02.692000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-16 11:52:33.000000
Недогрев ГВС,EDC,2022-02-16 09:43:55.000000,2022-02-16 12:10:07.834000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-16 11:51:53.000000
Недогрев ГВС,EDC,2022-02-16 09:25:06.000000,2022-02-16 12:10:07.106000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-16 11:51:13.000000
Недогрев ГВС,EDC,2022-02-15 09:04:06.000000,2022-02-15 17:23:56.817000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-15 17:04:38.000000
Загрязнение лифта,EDC,2022-02-14 09:18:40.000000,2022-02-14 11:07:22.109000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-14 10:57:30.000000
Повреждение элементов фасада,EDC,2022-02-09 17:39:33.000000,2022-02-09 18:19:02.985000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-09 18:09:20.000000
Запах газа на улице,MOS_GAS,2022-01-23 02:53:56.000000,2022-01-23 06:47:53.263000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-01-05 17:32:57.000000,2022-01-05 18:46:35.340000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-01-05 18:20:47.000000
Отсутствие ГВС в доме,EDC,2022-01-02 13:07:52.000000,2022-01-02 14:13:56.839000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-01-02 14:02:28.000000
Отсутствие ГВС в доме,EDC,2022-01-01 11:05:06.000000,2022-01-01 14:57:45.889000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-01-01 14:42:18.000000
Отсутствие ГВС в доме,EDC,2022-01-10 19:27:38.000000,2022-01-10 20:17:13.185000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-01-10 19:48:22.000000
Отсутствие ГВС в доме,EDC,2022-01-10 18:32:53.000000,2022-01-10 19:59:41.548000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-01-10 19:20:56.000000
Недогрев ГВС,EDC,2022-02-17 09:23:14.000000,2022-02-17 11:25:41.153000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-17 10:56:32.000000
Отсутствие ГВС в доме,EDC,2022-03-10 15:59:27.000000,2022-03-10 16:35:00.647000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Недогрев ГВС,EDC,2022-02-16 18:48:39.000000,2022-02-16 19:38:17.634000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,2022-02-16 19:28:06.000000
Запах газа в кухне,MOS_GAS,2022-06-18 10:35:15.000000,2023-04-08 05:01:41.260000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствует циркуляция ГВС,ASUPR,2022-06-16 16:44:52.000000,2022-06-16 14:54:53.028000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Недогрев ГВС,EDC,2022-04-29 12:30:17.000000,2022-04-29 14:44:14.925000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-05-28 18:03:52.000000,2022-05-28 15:12:21.809000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-05-28 18:03:52.000000,2022-05-28 15:12:14.094000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-05-24 10:52:34.000000,2022-05-24 21:56:59.725000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие освещения в местах общего пользования,EDC,2022-04-16 13:41:21.000000,2022-04-16 14:06:16.568000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие освещения в местах общего пользования,EDC,2022-04-15 20:57:23.000000,2022-04-15 22:14:58.529000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствует циркуляция ГВС,ASUPR,2022-04-12 22:04:16.000000,2022-04-12 20:03:39.233000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствует циркуляция ГВС,ASUPR,2022-04-12 19:44:20.000000,2022-04-12 17:23:22.649000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-04-12 17:34:07.000000,2022-04-12 18:08:33.412000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Температура ГВС ниже нормы,ASUPR,2022-04-12 13:14:13.000000,2022-04-12 10:14:34.222000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствует циркуляция ГВС,ASUPR,2022-04-12 12:53:59.000000,2022-04-12 14:13:51.082000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Изменение конфигурации УСПД,ASUPR,2022-04-03 12:24:49.000000,2022-04-03 09:25:15.591000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Недогрев ГВС,EDC,2022-04-27 11:43:43.000000,2022-04-27 12:47:12.900000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-06-07 18:23:55.000000,2022-06-07 18:46:29.036000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Температура ГВС ниже нормы,ASUPR,2022-06-16 16:54:57.000000,2022-06-16 13:55:53.029000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Нет связи с УСПД,ASUPR,2022-06-20 06:35:58.000000,2022-06-20 04:44:43.254000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отсутствие ГВС в доме,EDC,2022-06-18 08:24:12.000000,2022-06-18 08:43:29.118000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Расхождение времени ПУ,ASUPR,2022-06-29 20:45:35.000000,2022-06-29 17:53:23.129000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
Отклонение ГВС ниже нормы днем (мониторинг),ASUPR,2022-06-29 19:26:03.000000,2022-07-07 14:46:21.896000,ВАО,"внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 80, корпус 2",30152,
